VALUE,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME
1902,14750,63,6314750,Laurentian-Acadian Floodplain Systems
1903,14770,63,6314770,Boreal Acidic Peatland Systems
1904,14790,63,6314790,Central Interior and Appalachian Swamp Systems
1905,14810,63,6314810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp
1906,14920,63,6314920,Great Lakes Coastal Marsh Systems
1907,14940,63,6314940,Laurentian-Acadian Shrub-Herbaceous Wetland Systems
1908,15180,63,6315180,North-Central Interior Wet Flatwoods
1909,13030,62,6213030,Northeastern Interior Dry-Mesic Oak Forest
1910,13100,62,6213100,North-Central Interior Dry-Mesic Oak Forest and Woodland
1911,13130,62,6213130,North-Central Interior Beech-Maple Forest
1912,13170,62,6213170,Allegheny-Cumberland Dry Oak Forest and Woodland
1913,13210,62,6213210,South-Central Interior Mesophytic Forest
1914,13700,62,6213700,Appalachian (Hemlock-)Northern Hardwood Forest
1915,14710,62,6214710,Central Interior and Appalachian Floodplain Systems
1916,14720,62,6214720,Central Interior and Appalachian Riparian Systems
1917,14790,62,6214790,Central Interior and Appalachian Swamp Systems
1918,14930,62,6214930,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems
1919,15180,62,6215180,North-Central Interior Wet Flatwoods
1920,13020,65,6513020,Laurentian-Acadian Northern Hardwoods Forest
1921,13030,65,6513030,Northeastern Interior Dry-Mesic Oak Forest
1922,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest
1923,13550,65,6513550,Northern Atlantic Coastal Plain Pitch Pine Barrens
1924,13620,65,6513620,Laurentian-Acadian Northern Pine(-Oak) Forest
1925,13660,65,6513660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest
1926,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest
1927,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest
1928,13730,65,6513730,Acadian Low-Elevation Spruce-Fir-Hardwood Forest
1929,13740,65,6513740,Acadian-Appalachian Montane Spruce-Fir Forest
1930,13770,65,6513770,Central Appalachian Pine-Oak Rocky Woodland
1931,13790,65,6513790,Northern Atlantic Coastal Plain Maritime Forest
1932,14360,65,6514360,Northern Atlantic Coastal Plain Dune and Swale
1933,14710,65,6514710,Central Interior and Appalachian Floodplain Systems
1934,14720,65,6514720,Central Interior and Appalachian Riparian Systems
1935,14750,65,6514750,Laurentian-Acadian Floodplain Systems
1936,14770,65,6514770,Boreal Acidic Peatland Systems
1937,14790,65,6514790,Central Interior and Appalachian Swamp Systems
1938,14800,65,6514800,Gulf and Atlantic Coastal Plain Swamp Systems
1939,14900,65,6514900,Gulf and Atlantic Coastal Plain Tidal Marsh Systems
1940,14940,65,6514940,Laurentian-Acadian Shrub-Herbaceous Wetland Systems
1941,15180,65,6515180,North-Central Interior Wet Flatwoods
