VALUE,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME
2207,16890,68,6816890,Alaska Arctic Non-Acidic Dryas Dwarf-Shrubland
2208,16901,68,6816901,Alaska Arctic Dwarf-Shrubland - Frequent Fire
2209,16902,68,6816902,Alaska Arctic Dwarf-Shrubland - Infrequent Fire
2210,16941,68,6816941,Alaska Arctic Tussock Tundra - Frequent Fire
2211,16942,68,6816942,Alaska Arctic Tussock Tundra - Infrequent Fire
2212,16970,68,6816970,Alaska Arctic Pendantgrass Freshwater Marsh
2213,16980,68,6816980,Alaska Arctic Wet Sedge Meadow
2214,16990,68,6816990,Alaska Arctic Mesic Herbaceous Meadow
2215,17010,68,6817010,Alaska Arctic Coastal Sedge-Dwarf-Shrubland
2216,17020,68,6817020,Alaska Arctic Wet Sedge-Sphagnum Peatland
2217,17030,68,6817030,Alaska Arctic Dwarf-Shrub-Sphagnum Peatland
2218,17040,68,6817040,Alaska Arctic Permafrost Plateau Dwarf-Shrub Lichen Tundra
2219,17050,68,6817050,Alaska Arctic Sedge Freshwater Marsh
2220,17060,68,6817060,Alaska Arctic Polygonal Ground Wet Sedge Tundra
2221,17080,68,6817080,Alaska Arctic Polygonal Ground Shrub-Tussock Tundra
2222,17110,68,6817110,Alaska Arctic Tidal Marsh
2223,17120,68,6817120,Alaska Arctic Coastal Brackish Meadow
2224,17130,68,6817130,Alaska Arctic Active Inland Dune
2225,17140,68,6817140,Alaska Arctic Large River Floodplain
