,Unnamed: 0,inst_tag,AGCD,BA_conifer,BA_trees,BA_pine,BA_cedar,BA_fir,BA_shrub,BA_oak,TreeStemD,TreeStemD_40,TreeStemD_60,TreeStemD_80,TreeStemD_100,ResproutD_oak,ResproutD_shrub,ShannonE,NPP,FailedPFTs,Pct_shrub_cover_canopy,Pct_shrub_cover,Combustible_fuel,Pct_conifer_cover_canopy,Pct_pine_cover_canopy,Pct_cedar_cover_canopy,Pct_fir_cover_canopy,Pct_oak_cover_canopy,Burned_area,Pct_high_severity_1700,Pct_high_severity_3500,case_number,case_num_inst_id,fates_recruit_seed_alloc_mature_0,fates_recruit_seed_alloc_mature_1,fates_recruit_seed_alloc_mature_2,fates_recruit_seed_alloc_mature_3,fates_recruit_seed_alloc_mature_4,fates_recruit_seed_dbh_repro_threshold_0,fates_recruit_seed_dbh_repro_threshold_1,fates_recruit_seed_dbh_repro_threshold_2,fates_recruit_seed_dbh_repro_threshold_4,fates_fire_bark_scaler_4,fates_fire_alpha_SH_0,fates_fire_alpha_SH_1,fates_fire_alpha_SH_2,fates_fire_alpha_SH_3,fates_fire_alpha_SH_4,fates_fire_drying_ratio_0,fates_fire_nignitions_0,fates_mort_bmort_0,fates_mort_bmort_1,fates_mort_bmort_2,fates_mort_bmort_3,fates_mort_bmort_4,fates_leaf_slatop_0,fates_leaf_slatop_1,fates_leaf_slatop_2,fates_leaf_slatop_3,fates_leaf_slatop_4,fates_leaf_vcmax25top_0,fates_leaf_vcmax25top_1,fates_leaf_vcmax25top_2,fates_leaf_vcmax25top_3,fates_leaf_vcmax25top_4,fates_fire_frac_resprout_3,fates_fire_frac_resprout_4,fates_frag_seed_decay_rate_0,fates_frag_seed_decay_rate_1,fates_frag_seed_decay_rate_2,fates_frag_seed_decay_rate_3,fates_frag_seed_decay_rate_4,fates_recruit_seed_germination_rate_0,fates_recruit_seed_germination_rate_1,fates_recruit_seed_germination_rate_2,fates_recruit_seed_germination_rate_3,fates_recruit_seed_germination_rate_4,fates_disturbance_germ_3,fates_turnover_branch_0,fates_turnover_branch_1,fates_turnover_branch_2,fates_turnover_branch_3,fates_turnover_branch_4,fates_turnover_leaf_0,fates_turnover_leaf_1,fates_turnover_leaf_2,fates_turnover_leaf_3,fates_turnover_leaf_4,fates_nonhydro_smpsc_0,fates_nonhydro_smpsc_1,fates_nonhydro_smpsc_2,fates_nonhydro_smpsc_3,fates_nonhydro_smpsc_4,fates_mort_hf_sm_threshold_0,fates_recruit_inter_patch_disp_frac_0,fates_frag_maxdecomp_0,fates_frag_maxdecomp_0.1,fates_frag_maxdecomp_0.2,fates_frag_maxdecomp_0.3,fates_alloc_storage_cushion_4,fates_grperc_3,fates_stoich_nitr_0,fates_stoich_nitr_1,fates_stoich_nitr_2,fates_stoich_nitr_3,fates_stoich_nitr_4,fates_mort_ip_size_senescence_3,fates_mort_ip_age_senescence_3,fates_allom_d2ca_coefficient_max_0,fates_allom_d2ca_coefficient_max_1,fates_allom_d2ca_coefficient_max_2,fates_allom_d2ca_coefficient_max_3,fates_allom_d2ca_coefficient_max_4,fates_allom_d2ca_coefficient_min_0,fates_allom_agb1_0,fates_allom_agb1_1,fates_allom_agb1_2,fates_allom_agb1_4,fates_mort_scalar_cstarvation_0,fates_mort_scalar_cstarvation_1,fates_mort_scalar_cstarvation_2,fates_mort_scalar_cstarvation_3,fates_mort_scalar_cstarvation_4,fates_mort_scalar_hydrfailure_0,fates_mort_scalar_hydrfailure_1,fates_mort_scalar_hydrfailure_2,fates_mort_scalar_hydrfailure_3,fates_mort_scalar_hydrfailure_4,promising
0,0,1,1.7355027198791504,1.4706567162647843,1.4706748,0.5626596,0.9079972,3.1100982e-09,5.5226912,1.7846112e-05,70.05322724580765,0.103460406535305,0.0,0.0,0.0,1.3308399,0.02134125,0.2841151568118954,0.790817181211878,2,0.84608537,1.2529913,0.4087776,0.14697194,0.075398035,0.071387924,0.00018598283,0.006942639,0.057,0.0,0.0,1,01_0001,0.1982784910478635,0.1171741495432891,0.1474848418480306,0.4582097567272077,0.3848605638631586,20.572373750911492,20.572373750911492,20.572373750911492,29.293516531819343,0.0192467612221387,0.1754185744727625,0.2394330810562743,0.2394330810562743,0.1837174207294727,0.2383121422807992,49484.06442885038,4.799881823484647,0.0006459310221022,0.0006459310221022,0.0006459310221022,0.0238783564250693,0.0006459310221022,0.0078515799712427,0.0089669333159173,0.0089669333159173,0.0161581638995164,0.0114257191344388,59.6255284570664,53.25908815024446,37.71080683594955,70.01468622977114,30.05606601273165,0.4800402373979278,0.5791790532151344,0.6253412019685978,0.6253412019685978,0.6253412019685978,0.0080329413921241,0.6722055340410611,0.5490901209224416,0.5490901209224416,0.5490901209224416,0.0141545126069507,0.4254996356079688,12.657590203061275,122.0032558173035,122.0032558173035,122.0032558173035,41.3426736861411,122.0032558173035,4.735646844619955,5.386477759140332,8.262315042617221,2.3425885949741705,1.934043494820601,-342772.21254233544,-462085.2522017816,-165591.3411887356,-727360.3533127215,-615099.2101475049,0.2054809800462081,0.0861070899374618,0.8161865993842803,0.8161865993842803,0.8161865993842803,0.8161865993842803,1.3496008560659958,0.1574734850620699,0.022417615290504,0.0220044373448066,0.0212084359019389,0.0379256326158269,0.0384338819001186,28.9035724443527,76.3330296883581,0.3093454971410114,0.3093454971410114,0.3093454971410114,0.2053698752918139,0.8760030505631906,0.3093454971410114,0.0679398958993006,0.0679398958993006,0.0679398958993006,0.0930637734126972,0.3345787654048035,0.3345787654048035,0.3345787654048035,0.3345787654048035,0.3345787654048035,0.5232662359304661,0.5232662359304661,0.5232662359304661,0.5232662359304661,0.5232662359304661,False
1,1,2,6.126819133758545,26.827009860426188,28.008911,0.8504469,25.97487,0.0016915981,0.0,1.181902,729.9687713384628,21.891386713832617,12.697282945737244,11.860192753374577,1.825434421676153e-07,4.21374,0.0,0.2495440735809283,1.0647316341874102,2,0.001197438,0.036372185,0.15390325,0.7883283,0.03680793,0.7511766,0.00034374124,0.21047436,0.036,0.0,0.0,1,01_0002,0.2193234739652029,0.1064852510359815,0.1129108221694925,0.263994486082243,0.2096930052662911,21.358067855687853,21.358067855687853,21.358067855687853,27.71486219076778,0.0167904054453383,0.2177390771531829,0.2452097382517394,0.2452097382517394,0.2251124350875434,0.2066820128623293,53021.924425373,5.032655714330568,0.001153700517996,0.001153700517996,0.001153700517996,0.0331907668656795,0.001153700517996,0.0131231974445872,0.0165081098697527,0.0165081098697527,0.0389026082711191,0.0140832520444978,58.86136889607533,57.19184454346072,37.22541646143269,52.14335083796594,41.75173675784652,0.3551940442674081,0.5499106093806804,0.8681035256866675,0.8681035256866675,0.8681035256866675,0.0065646808455801,0.7329323790573019,0.8897283847732556,0.8897283847732556,0.8897283847732556,0.0177816933059482,0.3255127286594096,46.21021044294334,77.14358067164665,77.14358067164665,77.14358067164665,41.87941615305027,77.14358067164665,5.474434602368412,5.495055625437911,5.553411234130441,1.6907235568416823,1.6344310825336312,-340018.4154864563,-473735.1762271217,-242384.83472900168,-687333.2649643766,-591556.6360890318,0.2203669910700737,0.243073990338267,1.088776666679668,1.088776666679668,1.088776666679668,1.088776666679668,1.544721219811913,0.2485141077019627,0.0206761640974275,0.0196153351884543,0.0190700688034358,0.0447036438367099,0.0277915378228485,28.71631049480376,80.63179811284209,0.3128359544191463,0.3128359544191463,0.3128359544191463,0.1915174987828896,1.0813091786574844,0.3128359544191463,0.0751565371240062,0.0751565371240062,0.0751565371240062,0.1092591898783866,0.2889328856638664,0.2889328856638664,0.2889328856638664,0.2889328856638664,0.2889328856638664,0.4422888190635829,0.4422888190635829,0.4422888190635829,0.4422888190635829,0.4422888190635829,False
2,2,3,3.5757224559783936,10.791001841425896,10.8006935,0.13853855,10.303196,0.34926638,1.9906362,0.009693273,419.1698133945465,2.2330792853608727,0.3820284109679051,0.2621008934511337,0.0,9.493323,0.0,0.5083589064760623,0.7263756748727701,1,0.21857084,0.3154169,0.23862243,0.7085753,0.014703769,0.68618095,0.007690591,0.050160445,0.033,0.0,0.0,1,01_0003,0.2804379700412531,0.1210249799872386,0.2144224229606947,0.4754598198214419,0.2945746861845145,18.36689188730885,18.36689188730885,18.36689188730885,22.37378503044099,0.0167758677167944,0.2422130310039293,0.2460309464131134,0.2460309464131134,0.2288542359702592,0.2321561466005155,62395.70664762605,5.701209221993703,0.001441652679394,0.001441652679394,0.001441652679394,0.0847726458516462,0.001441652679394,0.0096585776350541,0.0116414983447683,0.0116414983447683,0.0341762600807267,0.0129613592552985,44.97370035258753,39.78050340124668,38.5250963636726,50.91998758004559,31.240750409372605,0.1387452150256798,0.8753916500414144,0.5130582046477811,0.5130582046477811,0.5130582046477811,0.0052615491163186,0.6656708917146902,0.7245705538687561,0.7245705538687561,0.7245705538687561,0.0062085827388178,0.6153647067372789,82.17053250592382,135.01060672474813,135.01060672474813,135.01060672474813,45.80180596145897,135.01060672474813,4.684302555447621,5.001393317326828,8.901502174625918,1.326559214736016,1.7646634925610925,-327541.99611777905,-491817.080411227,-147334.0137808806,-683097.1320967148,-509110.85562881664,0.2047909238434467,0.2449581464539575,0.8860098595371443,0.8860098595371443,0.8860098595371443,0.8860098595371443,1.6027560435603174,0.2425797944572092,0.0214345765258747,0.0200871522235042,0.0197577298630188,0.0232366566607414,0.0408104641270431,25.387967595907103,82.51443441175084,0.3474052993481782,0.3474052993481782,0.3474052993481782,0.158853291389541,0.9945292804245912,0.3474052993481782,0.0753818941019327,0.0753818941019327,0.0753818941019327,0.08920984387429,0.2704464025660397,0.2704464025660397,0.2704464025660397,0.2704464025660397,0.2704464025660397,0.4121579029555026,0.4121579029555026,0.4121579029555026,0.4121579029555026,0.4121579029555026,False
3,3,4,5.544340133666992,31.393179669976234,31.396124,17.155334,14.208195,0.029651273,0.0,0.0029439603,823.5235512256622,50.20987242460251,39.861719124019146,0.1983418587769847,0.0021789256265947,2.9502404,0.0,0.4459067908496534,0.784079697297102,3,0.00039317142,0.0016044279,0.19549209,0.9540579,0.6334899,0.3194245,0.00114343,0.04487972,0.024,0.0,0.0,1,01_0004,0.0542986229682444,0.0535288920172609,0.0528066795446143,0.2712794510551207,0.2325385237821385,17.380099267994115,17.380099267994115,17.380099267994115,28.95789166166417,0.0169929237345695,0.2407801171480778,0.2484701736884473,0.2484701736884473,0.2234451356451433,0.1020919792850221,57056.27644706903,2.946543588091504,0.0009843068204134,0.0009843068204134,0.0009843068204134,0.0252202602378154,0.0009843068204134,0.0138590159300072,0.0141509475639316,0.0141509475639316,0.0263394480128191,0.0103594261189944,41.61640188984043,36.22917960827771,36.105725921944696,82.75829926979209,38.82885323979336,0.1346921182666585,0.7285410396468984,0.5811273528975313,0.5811273528975313,0.5811273528975313,0.0073341981470501,0.5696350645007779,0.8144881837729441,0.8144881837729441,0.8144881837729441,0.0057992103997235,0.300192155239523,45.79786216261646,91.87774985130756,91.87774985130756,91.87774985130756,42.86493218349682,91.87774985130756,5.169269806476683,5.349288615321722,8.45398237303506,2.616306403401812,1.6607640546324718,-371978.8348036938,-489421.3663069463,-142798.55274332152,-648927.8332328908,-601805.0152136704,0.2567480125967574,0.1311804400329068,0.882600490740841,0.882600490740841,0.882600490740841,0.882600490740841,1.295149649633509,0.1114498370403919,0.0205388584228762,0.0190320659402018,0.0190076490152853,0.0546804731557863,0.0347618375451008,16.515238318122783,88.23034022898403,0.3343472414429711,0.3343472414429711,0.3343472414429711,0.1689454064535764,1.596593314993625,0.3343472414429711,0.0667749804362273,0.0667749804362273,0.0667749804362273,0.0872046148752825,0.5818190796272491,0.5818190796272491,0.5818190796272491,0.5818190796272491,0.5818190796272491,0.4661252132195726,0.4661252132195726,0.4661252132195726,0.4661252132195726,0.4661252132195726,False
4,4,5,13.90830135345459,42.84630995243788,42.846306,39.672035,3.1681552,0.006114605,0.00012377395,0.0,234.653539955616,195.3384466469288,8.293420542031527,8.603803003381927e-05,1.9784470936534682e-07,0.0,2.4434874e-07,0.1687265751610863,0.8644887452931016,3,0.0043902895,0.0048761573,0.17055094,0.9410306,0.889084,0.051642146,0.00030453477,0.0007396902,0.126,0.0,0.0,1,01_0005,0.2799495781397254,0.0415415210849037,0.1540375945581335,0.2692402591879105,0.3056561468402138,14.887874267447522,14.887874267447522,14.887874267447522,12.620812169225134,0.0119264908205792,0.1028839773281145,0.1882635105213309,0.1882635105213309,0.1547219116407222,0.2237213001359944,54476.86982116234,6.834055317264111,0.0006317371403113,0.0006317371403113,0.0006317371403113,0.0536111751998198,0.0006317371403113,0.0142491647516122,0.0150047464098034,0.0150047464098034,0.0162428804736021,0.0099740992666347,50.05002540370262,44.656188298147015,36.97327836883088,75.49818579279702,26.011586563002343,0.3215545051302238,0.7587314947099024,0.6515767748892547,0.6515767748892547,0.6515767748892547,0.0094441071931291,0.6501481346616186,0.94987691028549,0.94987691028549,0.94987691028549,0.0149039294173682,0.5831501655209131,82.53504637142049,140.97145522409386,140.97145522409386,140.97145522409386,39.68985879234523,140.97145522409386,4.27798004895999,5.094417629899102,9.599070033189342,2.6097097540015644,1.9265092283851888,-311026.23471775075,-498315.9863799437,-139367.26717386153,-697513.5844570228,-596920.9448030412,0.0578406308274569,0.0265568020687914,1.068461916016729,1.068461916016729,1.068461916016729,1.068461916016729,1.21362294397932,0.1889061271367299,0.0222030100938449,0.0210602216504463,0.0192360342508511,0.0321815369120838,0.0444848857729664,28.693856800035945,64.08004480719063,0.3253296826349344,0.3253296826349344,0.3253296826349344,0.2596337844893495,0.6900763225776515,0.3253296826349344,0.0739073985524878,0.0739073985524878,0.0739073985524878,0.0982846150658987,0.4768586005279157,0.4768586005279157,0.4768586005279157,0.4768586005279157,0.4768586005279157,0.3966653162772838,0.3966653162772838,0.3966653162772838,0.3966653162772838,0.3966653162772838,False
5,5,6,1.6012556552886963,0.4047088441438973,1.9959397,0.15505186,0.11434709,0.1353099,3.992369,1.5912309,93.08213368058205,1.0866470984183252,0.4966388951288536,0.0138112932290823,0.0,38.86828,0.0,0.560614697862326,0.6301135884427822,0,0.16664274,0.22556327,0.14824265,0.025624298,0.011393144,0.010131871,0.0040992834,0.51473653,0.047,0.0,0.0,1,01_0006,0.0665315897615125,0.0466718302690158,0.0557558528703946,0.3306998558713778,0.3209701261800618,29.01941096462188,29.01941096462188,29.01941096462188,24.72984878305724,0.0155364169280019,0.2021484150300882,0.2056892931225099,0.2056892931225099,0.237558953593601,0.1584823091343644,62132.728939569366,6.5507112495710285,0.0005603658322694,0.0005603658322694,0.0005603658322694,0.0909565941963,0.0005603658322694,0.0132983540319626,0.0136838886627275,0.0136838886627275,0.0472238107308428,0.0124395301635893,42.43287806935262,40.56795740600912,38.15224275647908,54.61525170036085,49.65199122510809,0.5847372072636747,0.9665209998792494,0.6743170665365034,0.6743170665365034,0.6743170665365034,0.0086693041607577,0.871154127632807,0.6594356808276312,0.6594356808276312,0.6594356808276312,0.0118714755675565,0.6061317121486017,13.398046151807971,73.53560921063685,73.53560921063685,73.53560921063685,27.32302926953116,73.53560921063685,4.589306560228116,4.720416982765538,6.444407201488852,2.43998859218041,1.8808335819251616,-365590.87781407154,-424370.5756927457,-198591.870663546,-703848.8838834986,-600984.4668414978,0.0161117317480044,0.0274468916358572,0.9786598378858086,0.9786598378858086,0.9786598378858086,0.9786598378858086,1.2381186371473294,0.2049931888893284,0.0201831188906918,0.0192559828243994,0.0190425139685349,0.0305538773524385,0.0314261288620132,28.142266317851128,58.99883473468325,0.3504426138252241,0.3504426138252241,0.3504426138252241,0.1634469384169143,0.7377359900055165,0.3504426138252241,0.082759235691783,0.082759235691783,0.082759235691783,0.1016498908427433,0.3130984464478664,0.3130984464478664,0.3130984464478664,0.3130984464478664,0.3130984464478664,0.3289481885977722,0.3289481885977722,0.3289481885977722,0.3289481885977722,0.3289481885977722,False
6,6,7,9.798921585083008,31.700332183390856,31.701433,19.609362,10.23804,1.85293,0.031933118,0.0011024133,249.777901917696,37.81245555728674,31.04011993855238,27.96073211356997,19.803259056061503,3.4458377,0.0,0.5179834188381462,0.9993906277259156,2,0.0028686647,0.003821126,0.33736324,0.92165357,0.5696493,0.32707608,0.024928201,0.008355054,0.051,2.5316455696202533,0.0,1,01_0007,0.2190884039071025,0.0689106074222212,0.1582273402589591,0.2326482481539861,0.4043910860878764,20.58267442071394,20.58267442071394,20.58267442071394,15.843749066118768,0.0125278679031553,0.1640163513932657,0.2282641753240945,0.2282641753240945,0.132257092810209,0.200186905611834,65061.598335161645,3.500536242814776,0.0002588139332639,0.0002588139332639,0.0002588139332639,0.0256605076667877,0.0002588139332639,0.0142553871681599,0.016907624744886,0.016907624744886,0.0536795772564118,0.0149395491566101,60.82750239851681,54.32348218699317,53.18013932746946,82.35256345846089,44.60208057561025,0.0781972769779244,0.8917046732813743,0.8178055375387978,0.8178055375387978,0.8178055375387978,0.0090756498686122,0.7853907102699594,0.3429818027473443,0.3429818027473443,0.3429818027473443,0.0075713858666679,0.4544351351506338,66.85412154538761,128.72352515493782,128.72352515493782,128.72352515493782,44.92068961126881,128.72352515493782,3.933073758608482,4.900180792224896,5.285927048015602,2.0967647610441382,1.4939340304594737,-341850.5124270042,-393199.8344856624,-168262.07562155655,-726175.4663722415,-605466.7518662385,0.0292508510516382,0.1787454487082704,0.6981791579646033,0.6981791579646033,0.6981791579646033,0.6981791579646033,1.3369205310639003,0.3043867896836635,0.0221934009553271,0.020999020636006,0.0203709249665799,0.0519261306866795,0.04250314217818,11.58514697298622,62.43492966950534,0.4328117184171096,0.4328117184171096,0.4328117184171096,0.1881001161995779,1.3570553523951163,0.4328117184171096,0.0663239664419583,0.0663239664419583,0.0663239664419583,0.0935369668894785,0.5060647520359759,0.5060647520359759,0.5060647520359759,0.5060647520359759,0.5060647520359759,0.4965947657567958,0.4965947657567958,0.4965947657567958,0.4965947657567958,0.4965947657567958,False
7,7,8,3.4438796043396,10.140754748135803,10.140755,1.0878667,9.022894,0.029994445,0.0,0.0,336.1764177680016,6.449328502640128,2.5175634073093534,2.338140038773417,2.1048320923000574,1.8573301,0.0,0.3024906129752011,0.7631884050169901,3,0.0018196533,0.002744531,0.302284,0.7836238,0.15042056,0.6317898,0.0014134783,0.0029401954,0.044,3.597122302158273,0.0,1,01_0008,0.2073468496463422,0.0581478971402951,0.1400996338968057,0.4621514677820405,0.2827225009556091,13.42707659086889,13.42707659086889,13.42707659086889,11.11086195739587,0.0144172113227974,0.249498565202042,0.2499418215404975,0.2499418215404975,0.1711297741090324,0.2457242324899301,58362.35756262258,6.443340722505822,0.0011523273898343,0.0011523273898343,0.0011523273898343,0.0282691106546701,0.0011523273898343,0.0140059489123674,0.0154983756100499,0.0154983756100499,0.0136846822750595,0.0087037355172405,53.20597358970022,49.65788140503428,37.54038024478496,74.99879340776354,50.308561661396666,0.0904132681649794,0.7491675694782837,0.5739552830661687,0.5739552830661687,0.5739552830661687,0.0066596323635186,0.5995998137268758,0.6377893348359961,0.6377893348359961,0.6377893348359961,0.008997952692104,0.5279479735183495,92.1926756833335,141.28285270754674,141.28285270754674,141.28285270754674,45.79436845599908,141.28285270754674,3.2535380549907424,4.1193867294646624,5.855912160982372,1.3338363087319585,1.9305153525179024,-327467.86855640286,-504918.924574981,-162377.7887552877,-687583.9510641401,-555627.6758918554,0.1249263288934626,0.0618301679597719,0.6289127247831757,0.6289127247831757,0.6289127247831757,0.6289127247831757,1.7285247763490146,0.2728864485646727,0.0204783223392281,0.0202020377218214,0.0199598118337632,0.0256295345735888,0.0275909425540801,16.053697253747245,71.48429807409038,0.4036319573161136,0.4036319573161136,0.4036319573161136,0.1394981438668684,1.3456944201437924,0.4036319573161136,0.0747613241549395,0.0747613241549395,0.0747613241549395,0.0953323181319835,0.4834194667558011,0.4834194667558011,0.4834194667558011,0.4834194667558011,0.4834194667558011,0.5022972684388268,0.5022972684388268,0.5022972684388268,0.5022972684388268,0.5022972684388268,False
8,8,9,1.6915737390518188,2.801469056734618e-06,3.123566,1.4916664e-06,0.0,1.3098027e-06,0.0,3.123563,127.06739827990532,1.3765116455033422,0.4236202221363783,0.2889110328396782,0.0001852223263654,96.48735,0.0,0.0059687245253459,0.8065975627573607,4,0.00054091663,0.0006216943,0.30280423,0.00027919086,0.00012068079,0.00012136568,3.7144415e-05,0.88735926,0.067,1.020408163265306,0.0,1,01_0009,0.0411335024475617,0.0405869714667336,0.0401911060291989,0.284135965698258,0.1766520398722026,26.398052202421407,26.398052202421407,26.398052202421407,25.68426332429813,0.0163680847803029,0.1183604765485094,0.2203568534252864,0.2203568534252864,0.1708158952111852,0.1163488123244206,63279.434486787904,5.588811282904708,0.0011725618940091,0.0011725618940091,0.0011725618940091,0.0377451242629237,0.0011725618940091,0.0119344409529631,0.0130469240977115,0.0130469240977115,0.0227250522070125,0.0153896067259744,50.87798341990919,43.607319362951074,36.59247486913559,46.78504033691169,49.24278848206371,0.2500491745654539,0.8151636613868573,0.5244194425265905,0.5244194425265905,0.5244194425265905,0.0069148913401869,0.62777878492721,0.9333695600465766,0.9333695600465766,0.9333695600465766,0.0110268426809728,0.5669192442718705,32.07055105750969,129.60903568826552,129.60903568826552,129.60903568826552,36.30402252191701,129.60903568826552,3.0147487142642446,3.837521820117369,9.855538415978764,1.2733673563529315,1.881614824090161,-293909.04842206027,-491214.5326485578,-218123.0718240177,-655332.9264263668,-523506.9384156948,0.0600041737158588,0.1079834275379797,0.9361025192666896,0.9361025192666896,0.9361025192666896,0.9361025192666896,1.6640714728155628,0.1548703417221468,0.0203884450911451,0.0200461602683299,0.0196268036204712,0.0391014340117056,0.0209932944995651,27.485362308702125,70.42823807161034,0.3102940760932172,0.3102940760932172,0.3102940760932172,0.2225310110572568,1.002815605003934,0.3102940760932172,0.0831343617467618,0.0831343617467618,0.0831343617467618,0.0863400653895462,0.5633956120488546,0.5633956120488546,0.5633956120488546,0.5633956120488546,0.5633956120488546,0.4029472049663042,0.4029472049663042,0.4029472049663042,0.4029472049663042,0.4029472049663042,False
9,9,10,1.56467866897583,0.356113669113256,0.35682327,1.2085588e-06,0.19285311,0.16325936,12.79282,0.00070959603,19.993558526039124,0.2303986912011169,0.1363270621368428,0.1036955836752895,0.0145301248721807,11.929726,0.1259957,0.1686913183665322,1.0806221494590318,2,0.69138265,0.74669826,0.21022165,0.034768235,0.004565078,0.024047071,0.0061560855,0.2688197,0.071,4.166666666666666,0.0,1,01_0010,0.2402559055222857,0.141494969065199,0.1429392223957439,0.3881221168276302,0.1830550039174869,29.005636130651496,29.005636130651496,29.005636130651496,24.30497054183641,0.0105038006478103,0.2423765390491863,0.2454525739965956,0.2454525739965956,0.2412921037375468,0.1717021393443694,64320.00810395814,6.254624124124729,0.0009784588746582,0.0009784588746582,0.0009784588746582,0.0813259780115908,0.0009784588746582,0.0111221397938229,0.0165290426109764,0.0165290426109764,0.0400877250048468,0.0102408568310045,37.09223748589808,36.68170665602994,36.07532824790159,83.27183797324402,48.94954594256363,0.3401373543596639,0.9261467875919722,0.6403634240795797,0.6403634240795797,0.6403634240795797,0.0087580909085784,0.6021363369326624,0.425833020794396,0.425833020794396,0.425833020794396,0.0071990950886331,0.6073084412578635,62.99654749387047,55.40122611567269,55.40122611567269,55.40122611567269,21.97026775545312,55.40122611567269,4.974628822064725,5.487627485321748,8.263044458932557,1.329736779360331,1.524934760809841,-318810.16095959686,-439197.6511591411,-184195.9067331088,-657579.7408821001,-545200.5410990799,0.200734296931711,0.0457946602175508,1.0275671914723727,1.0275671914723727,1.0275671914723727,1.0275671914723727,1.207141966617134,0.1765971360080317,0.0215454703571956,0.0191620495922503,0.0191228426058013,0.0478535348680223,0.0354833642578551,19.03452408110671,84.76891756395162,0.2871309347488591,0.2871309347488591,0.2871309347488591,0.2000524212396395,1.5845480423493503,0.2871309347488591,0.0733643754218027,0.0733643754218027,0.0733643754218027,0.1057336043738587,0.354027184160562,0.354027184160562,0.354027184160562,0.354027184160562,0.354027184160562,0.4437031818244485,0.4437031818244485,0.4437031818244485,0.4437031818244485,0.4437031818244485,False
