,inst_tag,AGCD,BA_conifer,BA_trees,BA_pine,BA_cedar,BA_fir,BA_shrub,BA_oak,TreeStemD,TreeStemD_40,TreeStemD_60,TreeStemD_80,TreeStemD_100,ResproutD_oak,ResproutD_shrub,ShannonE,NPP,FailedPFTs,Pct_shrub_cover_canopy,Pct_shrub_cover,Combustible_fuel,Pct_conifer_cover_canopy,Pct_pine_cover_canopy,Pct_cedar_cover_canopy,Pct_fir_cover_canopy,Pct_oak_cover_canopy,Burned_area,Pct_high_severity_1700,Pct_high_severity_3500,case_number,case_num_inst_id,fates_recruit_seed_alloc_mature_0,fates_recruit_seed_alloc_mature_1,fates_recruit_seed_alloc_mature_2,fates_recruit_seed_alloc_mature_3,fates_recruit_seed_alloc_mature_4,fates_recruit_seed_dbh_repro_threshold_0,fates_recruit_seed_dbh_repro_threshold_1,fates_recruit_seed_dbh_repro_threshold_2,fates_recruit_seed_dbh_repro_threshold_4,fates_fire_bark_scaler_4,fates_fire_alpha_SH_0,fates_fire_alpha_SH_1,fates_fire_alpha_SH_2,fates_fire_alpha_SH_3,fates_fire_alpha_SH_4,fates_fire_drying_ratio_0,fates_fire_nignitions_0,fates_mort_bmort_0,fates_mort_bmort_1,fates_mort_bmort_2,fates_mort_bmort_3,fates_mort_bmort_4,fates_leaf_slatop_0,fates_leaf_slatop_1,fates_leaf_slatop_2,fates_leaf_slatop_3,fates_leaf_slatop_4,fates_leaf_vcmax25top_0,fates_leaf_vcmax25top_1,fates_leaf_vcmax25top_2,fates_leaf_vcmax25top_3,fates_leaf_vcmax25top_4,fates_fire_frac_resprout_3,fates_fire_frac_resprout_4,fates_frag_seed_decay_rate_0,fates_frag_seed_decay_rate_1,fates_frag_seed_decay_rate_2,fates_frag_seed_decay_rate_3,fates_frag_seed_decay_rate_4,fates_recruit_seed_germination_rate_0,fates_recruit_seed_germination_rate_1,fates_recruit_seed_germination_rate_2,fates_recruit_seed_germination_rate_3,fates_recruit_seed_germination_rate_4,fates_disturbance_germ_3,fates_turnover_branch_0,fates_turnover_branch_1,fates_turnover_branch_2,fates_turnover_branch_3,fates_turnover_branch_4,fates_turnover_leaf_0,fates_turnover_leaf_1,fates_turnover_leaf_2,fates_turnover_leaf_3,fates_turnover_leaf_4,fates_nonhydro_smpsc_0,fates_nonhydro_smpsc_1,fates_nonhydro_smpsc_2,fates_nonhydro_smpsc_3,fates_nonhydro_smpsc_4,fates_mort_hf_sm_threshold_0,fates_recruit_inter_patch_disp_frac_0,fates_frag_maxdecomp_0,fates_frag_maxdecomp_0,fates_frag_maxdecomp_0,fates_frag_maxdecomp_0,fates_alloc_storage_cushion_4,fates_grperc_3,fates_stoich_nitr_0,fates_stoich_nitr_1,fates_stoich_nitr_2,fates_stoich_nitr_3,fates_stoich_nitr_4,fates_mort_ip_size_senescence_3,fates_mort_ip_age_senescence_3,fates_allom_d2ca_coefficient_max_0,fates_allom_d2ca_coefficient_max_1,fates_allom_d2ca_coefficient_max_2,fates_allom_d2ca_coefficient_max_3,fates_allom_d2ca_coefficient_max_4,fates_allom_d2ca_coefficient_min_0,fates_allom_agb1_0,fates_allom_agb1_1,fates_allom_agb1_2,fates_allom_agb1_4,fates_mort_scalar_cstarvation_0,fates_mort_scalar_cstarvation_1,fates_mort_scalar_cstarvation_2,fates_mort_scalar_cstarvation_3,fates_mort_scalar_cstarvation_4,fates_mort_scalar_hydrfailure_0,fates_mort_scalar_hydrfailure_1,fates_mort_scalar_hydrfailure_2,fates_mort_scalar_hydrfailure_3,fates_mort_scalar_hydrfailure_4
0,0001,1.7355027198791504,1.4706567162647843,1.4706748,0.5626596,0.9079972,3.1100982e-09,5.5226912,1.7846112e-05,70.05322724580765,0.103460406535305,0.0,0.0,0.0,1.3308399,0.02134125,0.2841151568118954,0.790817181211878,2,0.84608537,1.2529913,0.4087776,0.14697194,0.075398035,0.071387924,0.00018598283,0.006942639,0.057,0.0,0.0,01,01_0001,0.1982784910478635,0.11717414954328914,0.14748484184803068,0.45820975672720776,0.3848605638631586,20.572373750911495,20.572373750911495,20.572373750911495,29.293516531819346,0.01924676122213879,0.1754185744727625,0.2394330810562743,0.2394330810562743,0.18371742072947278,0.23831214228079922,49484.06442885038,4.799881823484647,0.0006459310221022438,0.0006459310221022438,0.0006459310221022438,0.02387835642506936,0.0006459310221022438,0.00785157997124279,0.008966933315917327,0.008966933315917327,0.016158163899516402,0.01142571913443885,59.6255284570664,53.25908815024446,37.71080683594955,70.01468622977114,30.05606601273165,0.48004023739792784,0.5791790532151344,0.6253412019685978,0.6253412019685978,0.6253412019685978,0.008032941392124113,0.6722055340410611,0.5490901209224416,0.5490901209224416,0.5490901209224416,0.014154512606950751,0.4254996356079688,12.657590203061277,122.0032558173035,122.0032558173035,122.0032558173035,41.3426736861411,122.0032558173035,4.735646844619955,5.386477759140332,8.262315042617221,2.3425885949741705,1.934043494820601,-342772.21254233544,-462085.2522017816,-165591.3411887356,-727360.3533127215,-615099.2101475049,0.20548098004620818,0.08610708993746183,0.8161865993842803,0.8161865993842803,0.8161865993842803,0.8161865993842803,1.3496008560659958,0.15747348506206998,0.022417615290504,0.02200443734480666,0.021208435901938945,0.03792563261582692,0.03843388190011865,28.9035724443527,76.3330296883581,0.3093454971410114,0.3093454971410114,0.3093454971410114,0.20536987529181397,0.8760030505631906,0.3093454971410114,0.06793989589930065,0.06793989589930065,0.06793989589930065,0.09306377341269721,0.3345787654048035,0.3345787654048035,0.3345787654048035,0.3345787654048035,0.3345787654048035,0.5232662359304661,0.5232662359304661,0.5232662359304661,0.5232662359304661,0.5232662359304661
1,0002,6.126819133758545,26.827009860426188,28.008911,0.8504469,25.97487,0.0016915981,0.0,1.181902,729.9687713384628,21.891386713832617,12.697282945737244,11.860192753374577,1.825434421676153e-07,4.21374,0.0,0.2495440735809283,1.0647316341874102,2,0.001197438,0.036372185,0.15390325,0.7883283,0.03680793,0.7511766,0.00034374124,0.21047436,0.036,0.0,0.0,01,01_0002,0.2193234739652029,0.10648525103598153,0.1129108221694925,0.263994486082243,0.20969300526629117,21.358067855687853,21.358067855687853,21.358067855687853,27.71486219076778,0.01679040544533838,0.2177390771531829,0.2452097382517394,0.2452097382517394,0.22511243508754344,0.20668201286232935,53021.924425373,5.032655714330568,0.0011537005179960197,0.0011537005179960197,0.0011537005179960197,0.03319076686567955,0.0011537005179960197,0.013123197444587297,0.016508109869752763,0.016508109869752763,0.0389026082711191,0.014083252044497844,58.861368896075334,57.19184454346072,37.225416461432694,52.14335083796594,41.751736757846516,0.35519404426740814,0.5499106093806804,0.8681035256866675,0.8681035256866675,0.8681035256866675,0.00656468084558012,0.7329323790573019,0.8897283847732556,0.8897283847732556,0.8897283847732556,0.017781693305948205,0.3255127286594096,46.21021044294334,77.14358067164665,77.14358067164665,77.14358067164665,41.87941615305027,77.14358067164665,5.474434602368412,5.495055625437911,5.553411234130441,1.6907235568416823,1.6344310825336312,-340018.4154864563,-473735.1762271217,-242384.83472900168,-687333.2649643766,-591556.6360890318,0.22036699107007374,0.24307399033826704,1.088776666679668,1.088776666679668,1.088776666679668,1.088776666679668,1.5447212198119127,0.2485141077019627,0.020676164097427563,0.019615335188454312,0.019070068803435803,0.04470364383670991,0.027791537822848593,28.716310494803757,80.63179811284209,0.3128359544191463,0.3128359544191463,0.3128359544191463,0.19151749878288965,1.0813091786574844,0.3128359544191463,0.07515653712400626,0.07515653712400626,0.07515653712400626,0.10925918987838665,0.2889328856638664,0.2889328856638664,0.2889328856638664,0.2889328856638664,0.2889328856638664,0.44228881906358297,0.44228881906358297,0.44228881906358297,0.44228881906358297,0.44228881906358297
2,0003,3.5757224559783936,10.791001841425896,10.8006935,0.13853855,10.303196,0.34926638,1.9906362,0.009693273,419.1698133945465,2.2330792853608727,0.3820284109679051,0.2621008934511337,0.0,9.493323,0.0,0.5083589064760623,0.7263756748727701,1,0.21857084,0.3154169,0.23862243,0.7085753,0.014703769,0.68618095,0.007690591,0.050160445,0.033,0.0,0.0,01,01_0003,0.2804379700412531,0.12102497998723868,0.21442242296069478,0.4754598198214419,0.29457468618451454,18.366891887308846,18.366891887308846,18.366891887308846,22.37378503044099,0.01677586771679443,0.24221303100392938,0.24603094641311343,0.24603094641311343,0.22885423597025925,0.23215614660051553,62395.706647626044,5.701209221993703,0.0014416526793940916,0.0014416526793940916,0.0014416526793940916,0.08477264585164623,0.0014416526793940916,0.00965857763505414,0.011641498344768395,0.011641498344768395,0.03417626008072675,0.012961359255298562,44.97370035258753,39.78050340124668,38.525096363672596,50.919987580045586,31.240750409372605,0.13874521502567982,0.8753916500414144,0.5130582046477811,0.5130582046477811,0.5130582046477811,0.005261549116318648,0.6656708917146902,0.7245705538687561,0.7245705538687561,0.7245705538687561,0.0062085827388178175,0.6153647067372789,82.17053250592382,135.01060672474813,135.01060672474813,135.01060672474813,45.80180596145897,135.01060672474813,4.684302555447621,5.001393317326828,8.901502174625918,1.3265592147360161,1.7646634925610925,-327541.99611777905,-491817.080411227,-147334.0137808806,-683097.1320967148,-509110.85562881664,0.20479092384344677,0.24495814645395753,0.8860098595371443,0.8860098595371443,0.8860098595371443,0.8860098595371443,1.6027560435603174,0.24257979445720929,0.021434576525874705,0.020087152223504247,0.019757729863018835,0.02323665666074149,0.040810464127043145,25.387967595907106,82.51443441175084,0.3474052993481782,0.3474052993481782,0.3474052993481782,0.15885329138954102,0.9945292804245911,0.3474052993481782,0.07538189410193279,0.07538189410193279,0.07538189410193279,0.08920984387429,0.27044640256603975,0.27044640256603975,0.27044640256603975,0.27044640256603975,0.27044640256603975,0.4121579029555026,0.4121579029555026,0.4121579029555026,0.4121579029555026,0.4121579029555026
3,0004,5.544340133666992,31.393179669976234,31.396124,17.155334,14.208195,0.029651273,0.0,0.0029439603,823.5235512256622,50.20987242460251,39.861719124019146,0.1983418587769847,0.0021789256265947,2.9502404,0.0,0.4459067908496534,0.784079697297102,3,0.00039317142,0.0016044279,0.19549209,0.9540579,0.6334899,0.3194245,0.00114343,0.04487972,0.024,0.0,0.0,01,01_0004,0.054298622968244475,0.05352889201726092,0.05280667954461434,0.27127945105512075,0.23253852378213852,17.380099267994115,17.380099267994115,17.380099267994115,28.957891661664174,0.016992923734569513,0.24078011714807782,0.24847017368844737,0.24847017368844737,0.2234451356451433,0.1020919792850221,57056.27644706903,2.946543588091504,0.000984306820413442,0.000984306820413442,0.000984306820413442,0.02522026023781547,0.000984306820413442,0.01385901593000724,0.01415094756393164,0.01415094756393164,0.026339448012819153,0.010359426118994413,41.61640188984043,36.22917960827771,36.105725921944696,82.75829926979209,38.82885323979336,0.13469211826665856,0.7285410396468984,0.5811273528975313,0.5811273528975313,0.5811273528975313,0.007334198147050158,0.5696350645007779,0.8144881837729441,0.8144881837729441,0.8144881837729441,0.005799210399723569,0.30019215523952303,45.79786216261646,91.87774985130756,91.87774985130756,91.87774985130756,42.86493218349682,91.87774985130756,5.169269806476683,5.349288615321722,8.45398237303506,2.6163064034018118,1.6607640546324718,-371978.83480369387,-489421.3663069463,-142798.55274332152,-648927.8332328908,-601805.0152136704,0.25674801259675745,0.1311804400329068,0.882600490740841,0.882600490740841,0.882600490740841,0.882600490740841,1.295149649633509,0.11144983704039198,0.020538858422876206,0.01903206594020183,0.01900764901528534,0.054680473155786335,0.03476183754510083,16.515238318122783,88.23034022898403,0.3343472414429711,0.3343472414429711,0.3343472414429711,0.16894540645357647,1.596593314993625,0.3343472414429711,0.06677498043622739,0.06677498043622739,0.06677498043622739,0.08720461487528254,0.5818190796272491,0.5818190796272491,0.5818190796272491,0.5818190796272491,0.5818190796272491,0.4661252132195726,0.4661252132195726,0.4661252132195726,0.4661252132195726,0.4661252132195726
4,0005,13.90830135345459,42.84630995243788,42.846306,39.672035,3.1681552,0.006114605,0.00012377395,0.0,234.653539955616,195.3384466469288,8.293420542031527,8.603803003381927e-05,1.9784470936534682e-07,0.0,2.4434874e-07,0.1687265751610863,0.8644887452931016,3,0.0043902895,0.0048761573,0.17055094,0.9410306,0.889084,0.051642146,0.00030453477,0.0007396902,0.126,0.0,0.0,01,01_0005,0.2799495781397254,0.041541521084903756,0.1540375945581335,0.26924025918791056,0.3056561468402138,14.887874267447522,14.887874267447522,14.887874267447522,12.620812169225134,0.01192649082057929,0.10288397732811456,0.1882635105213309,0.1882635105213309,0.15472191164072224,0.2237213001359944,54476.86982116234,6.834055317264111,0.0006317371403113847,0.0006317371403113847,0.0006317371403113847,0.05361117519981986,0.0006317371403113847,0.014249164751612219,0.015004746409803487,0.015004746409803487,0.016242880473602193,0.00997409926663479,50.05002540370262,44.656188298147015,36.97327836883088,75.49818579279702,26.011586563002346,0.3215545051302238,0.7587314947099024,0.6515767748892547,0.6515767748892547,0.6515767748892547,0.00944410719312911,0.6501481346616186,0.94987691028549,0.94987691028549,0.94987691028549,0.014903929417368258,0.5831501655209131,82.53504637142049,140.97145522409386,140.97145522409386,140.97145522409386,39.68985879234523,140.97145522409386,4.27798004895999,5.094417629899102,9.599070033189342,2.6097097540015644,1.9265092283851888,-311026.23471775075,-498315.9863799437,-139367.26717386153,-697513.5844570228,-596920.9448030412,0.05784063082745696,0.02655680206879147,1.068461916016729,1.068461916016729,1.068461916016729,1.068461916016729,1.21362294397932,0.18890612713672994,0.02220301009384496,0.021060221650446322,0.019236034250851144,0.032181536912083884,0.04448488577296647,28.693856800035945,64.08004480719063,0.32532968263493445,0.32532968263493445,0.32532968263493445,0.2596337844893495,0.6900763225776515,0.32532968263493445,0.07390739855248787,0.07390739855248787,0.07390739855248787,0.09828461506589875,0.4768586005279157,0.4768586005279157,0.4768586005279157,0.4768586005279157,0.4768586005279157,0.39666531627728385,0.39666531627728385,0.39666531627728385,0.39666531627728385,0.39666531627728385
5,0006,1.6012556552886963,0.4047088441438973,1.9959397,0.15505186,0.11434709,0.1353099,3.992369,1.5912309,93.08213368058205,1.0866470984183252,0.4966388951288536,0.0138112932290823,0.0,38.86828,0.0,0.560614697862326,0.6301135884427822,0,0.16664274,0.22556327,0.14824265,0.025624298,0.011393144,0.010131871,0.0040992834,0.51473653,0.047,0.0,0.0,01,01_0006,0.06653158976151255,0.04667183026901589,0.05575585287039464,0.3306998558713778,0.3209701261800618,29.01941096462188,29.01941096462188,29.01941096462188,24.729848783057236,0.015536416928001909,0.20214841503008824,0.2056892931225099,0.2056892931225099,0.237558953593601,0.15848230913436445,62132.728939569366,6.5507112495710285,0.000560365832269484,0.000560365832269484,0.000560365832269484,0.09095659419630009,0.000560365832269484,0.013298354031962653,0.01368388866272758,0.01368388866272758,0.04722381073084287,0.012439530163589351,42.43287806935262,40.56795740600912,38.15224275647908,54.615251700360844,49.65199122510809,0.5847372072636747,0.9665209998792494,0.6743170665365034,0.6743170665365034,0.6743170665365034,0.008669304160757786,0.871154127632807,0.6594356808276312,0.6594356808276312,0.6594356808276312,0.011871475567556512,0.6061317121486017,13.398046151807971,73.53560921063685,73.53560921063685,73.53560921063685,27.32302926953116,73.53560921063685,4.589306560228116,4.7204169827655384,6.444407201488852,2.43998859218041,1.8808335819251618,-365590.87781407154,-424370.5756927457,-198591.87066354597,-703848.8838834986,-600984.4668414978,0.016111731748004444,0.027446891635857215,0.9786598378858086,0.9786598378858086,0.9786598378858086,0.9786598378858086,1.2381186371473294,0.2049931888893284,0.020183118890691885,0.01925598282439945,0.019042513968534916,0.030553877352438544,0.03142612886201322,28.142266317851128,58.99883473468325,0.3504426138252241,0.3504426138252241,0.3504426138252241,0.16344693841691438,0.7377359900055165,0.3504426138252241,0.08275923569178303,0.08275923569178303,0.08275923569178303,0.10164989084274334,0.3130984464478664,0.3130984464478664,0.3130984464478664,0.3130984464478664,0.3130984464478664,0.3289481885977722,0.3289481885977722,0.3289481885977722,0.3289481885977722,0.3289481885977722
6,0007,9.798921585083008,31.700332183390856,31.701433,19.609362,10.23804,1.85293,0.031933118,0.0011024133,249.777901917696,37.81245555728674,31.04011993855238,27.96073211356997,19.803259056061503,3.4458377,0.0,0.5179834188381462,0.9993906277259156,2,0.0028686647,0.003821126,0.33736324,0.92165357,0.5696493,0.32707608,0.024928201,0.008355054,0.051,2.5316455696202533,0.0,01,01_0007,0.21908840390710257,0.06891060742222124,0.1582273402589591,0.23264824815398613,0.40439108608787644,20.58267442071394,20.58267442071394,20.58267442071394,15.843749066118768,0.01252786790315538,0.16401635139326576,0.22826417532409457,0.22826417532409457,0.132257092810209,0.20018690561183403,65061.598335161645,3.500536242814776,0.000258813933263976,0.000258813933263976,0.000258813933263976,0.025660507666787763,0.000258813933263976,0.014255387168159963,0.016907624744886048,0.016907624744886048,0.05367957725641188,0.014939549156610124,60.82750239851681,54.32348218699317,53.18013932746946,82.35256345846089,44.60208057561025,0.07819727697792449,0.8917046732813743,0.8178055375387978,0.8178055375387978,0.8178055375387978,0.009075649868612218,0.7853907102699594,0.34298180274734436,0.34298180274734436,0.34298180274734436,0.007571385866667954,0.45443513515063383,66.85412154538761,128.72352515493782,128.72352515493782,128.72352515493782,44.92068961126881,128.72352515493782,3.933073758608482,4.900180792224896,5.285927048015602,2.0967647610441382,1.4939340304594735,-341850.5124270042,-393199.83448566234,-168262.07562155655,-726175.4663722415,-605466.7518662385,0.029250851051638285,0.17874544870827044,0.6981791579646033,0.6981791579646033,0.6981791579646033,0.6981791579646033,1.3369205310639003,0.3043867896836635,0.022193400955327153,0.02099902063600606,0.020370924966579978,0.05192613068667952,0.04250314217818007,11.58514697298622,62.43492966950534,0.4328117184171096,0.4328117184171096,0.4328117184171096,0.1881001161995779,1.3570553523951165,0.4328117184171096,0.06632396644195836,0.06632396644195836,0.06632396644195836,0.09353696688947853,0.5060647520359759,0.5060647520359759,0.5060647520359759,0.5060647520359759,0.5060647520359759,0.4965947657567958,0.4965947657567958,0.4965947657567958,0.4965947657567958,0.4965947657567958
7,0008,3.4438796043396,10.140754748135803,10.140755,1.0878667,9.022894,0.029994445,0.0,0.0,336.1764177680016,6.449328502640128,2.5175634073093534,2.338140038773417,2.1048320923000574,1.8573301,0.0,0.3024906129752011,0.7631884050169901,3,0.0018196533,0.002744531,0.302284,0.7836238,0.15042056,0.6317898,0.0014134783,0.0029401954,0.044,3.597122302158273,0.0,01,01_0008,0.2073468496463422,0.05814789714029513,0.14009963389680571,0.4621514677820405,0.2827225009556091,13.42707659086889,13.42707659086889,13.42707659086889,11.11086195739587,0.014417211322797493,0.24949856520204208,0.24994182154049757,0.24994182154049757,0.17112977410903246,0.24572423248993017,58362.35756262258,6.443340722505822,0.0011523273898343357,0.0011523273898343357,0.0011523273898343357,0.028269110654670113,0.0011523273898343357,0.014005948912367415,0.015498375610049974,0.015498375610049974,0.013684682275059574,0.008703735517240579,53.20597358970022,49.65788140503428,37.54038024478496,74.99879340776354,50.308561661396666,0.09041326816497945,0.7491675694782837,0.5739552830661687,0.5739552830661687,0.5739552830661687,0.0066596323635186635,0.5995998137268758,0.6377893348359961,0.6377893348359961,0.6377893348359961,0.008997952692104037,0.5279479735183495,92.1926756833335,141.28285270754674,141.28285270754674,141.28285270754674,45.79436845599908,141.28285270754674,3.2535380549907424,4.1193867294646624,5.855912160982372,1.3338363087319585,1.9305153525179022,-327467.86855640286,-504918.924574981,-162377.7887552877,-687583.9510641401,-555627.6758918554,0.12492632889346264,0.06183016795977196,0.6289127247831757,0.6289127247831757,0.6289127247831757,0.6289127247831757,1.7285247763490146,0.2728864485646727,0.020478322339228118,0.020202037721821473,0.019959811833763275,0.02562953457358883,0.02759094255408017,16.053697253747245,71.48429807409038,0.4036319573161136,0.4036319573161136,0.4036319573161136,0.1394981438668684,1.3456944201437924,0.4036319573161136,0.07476132415493958,0.07476132415493958,0.07476132415493958,0.09533231813198359,0.4834194667558011,0.4834194667558011,0.4834194667558011,0.4834194667558011,0.4834194667558011,0.5022972684388268,0.5022972684388268,0.5022972684388268,0.5022972684388268,0.5022972684388268
8,0009,1.6915737390518188,2.801469056734618e-06,3.123566,1.4916664e-06,0.0,1.3098027e-06,0.0,3.123563,127.06739827990532,1.3765116455033422,0.4236202221363783,0.2889110328396782,0.0001852223263654,96.48735,0.0,0.0059687245253459,0.8065975627573607,4,0.00054091663,0.0006216943,0.30280423,0.00027919086,0.00012068079,0.00012136568,3.7144415e-05,0.88735926,0.067,1.020408163265306,0.0,01,01_0009,0.04113350244756171,0.04058697146673361,0.040191106029198974,0.284135965698258,0.17665203987220263,26.398052202421407,26.398052202421407,26.398052202421407,25.68426332429813,0.016368084780302924,0.11836047654850945,0.2203568534252864,0.2203568534252864,0.17081589521118523,0.11634881232442068,63279.434486787904,5.588811282904708,0.0011725618940091177,0.0011725618940091177,0.0011725618940091177,0.037745124262923736,0.0011725618940091177,0.011934440952963109,0.013046924097711564,0.013046924097711564,0.022725052207012573,0.015389606725974496,50.877983419909185,43.607319362951074,36.592474869135586,46.78504033691169,49.24278848206371,0.25004917456545395,0.8151636613868573,0.5244194425265905,0.5244194425265905,0.5244194425265905,0.006914891340186973,0.62777878492721,0.9333695600465766,0.9333695600465766,0.9333695600465766,0.011026842680972829,0.5669192442718705,32.07055105750969,129.60903568826552,129.60903568826552,129.60903568826552,36.30402252191701,129.60903568826552,3.0147487142642446,3.8375218201173693,9.855538415978764,1.2733673563529317,1.8816148240901607,-293909.04842206027,-491214.5326485578,-218123.07182401774,-655332.9264263668,-523506.93841569475,0.06000417371585884,0.10798342753797979,0.9361025192666896,0.9361025192666896,0.9361025192666896,0.9361025192666896,1.6640714728155628,0.1548703417221468,0.02038844509114515,0.02004616026832997,0.01962680362047123,0.039101434011705655,0.02099329449956513,27.485362308702125,70.42823807161034,0.31029407609321724,0.31029407609321724,0.31029407609321724,0.2225310110572568,1.0028156050039339,0.31029407609321724,0.0831343617467618,0.0831343617467618,0.0831343617467618,0.08634006538954622,0.5633956120488546,0.5633956120488546,0.5633956120488546,0.5633956120488546,0.5633956120488546,0.4029472049663042,0.4029472049663042,0.4029472049663042,0.4029472049663042,0.4029472049663042
9,0010,1.56467866897583,0.356113669113256,0.35682327,1.2085588e-06,0.19285311,0.16325936,12.79282,0.00070959603,19.993558526039124,0.2303986912011169,0.1363270621368428,0.1036955836752895,0.0145301248721807,11.929726,0.1259957,0.1686913183665322,1.0806221494590318,2,0.69138265,0.74669826,0.21022165,0.034768235,0.004565078,0.024047071,0.0061560855,0.2688197,0.071,4.166666666666666,0.0,01,01_0010,0.24025590552228573,0.14149496906519907,0.14293922239574394,0.3881221168276302,0.1830550039174869,29.005636130651496,29.005636130651496,29.005636130651496,24.30497054183641,0.010503800647810382,0.24237653904918632,0.24545257399659567,0.24545257399659567,0.24129210373754684,0.17170213934436943,64320.00810395814,6.254624124124729,0.0009784588746582475,0.0009784588746582475,0.0009784588746582475,0.08132597801159086,0.0009784588746582475,0.011122139793822974,0.016529042610976444,0.016529042610976444,0.04008772500484683,0.010240856831004577,37.092237485898075,36.68170665602994,36.07532824790159,83.27183797324402,48.94954594256363,0.34013735435966397,0.9261467875919722,0.6403634240795797,0.6403634240795797,0.6403634240795797,0.008758090908578462,0.6021363369326624,0.425833020794396,0.425833020794396,0.425833020794396,0.007199095088633145,0.6073084412578635,62.99654749387047,55.40122611567269,55.40122611567269,55.40122611567269,21.970267755453122,55.40122611567269,4.974628822064725,5.487627485321748,8.263044458932557,1.329736779360331,1.524934760809841,-318810.16095959686,-439197.6511591411,-184195.9067331088,-657579.7408821001,-545200.5410990799,0.20073429693171108,0.04579466021755084,1.0275671914723727,1.0275671914723727,1.0275671914723727,1.0275671914723727,1.207141966617134,0.17659713600803179,0.021545470357195617,0.019162049592250336,0.019122842605801365,0.04785353486802239,0.035483364257855185,19.03452408110671,84.76891756395162,0.2871309347488591,0.2871309347488591,0.2871309347488591,0.20005242123963954,1.5845480423493503,0.2871309347488591,0.07336437542180275,0.07336437542180275,0.07336437542180275,0.10573360437385876,0.354027184160562,0.354027184160562,0.354027184160562,0.354027184160562,0.354027184160562,0.4437031818244485,0.4437031818244485,0.4437031818244485,0.4437031818244485,0.4437031818244485
